codigo,area_registral_m2
251750000000000010001922015533,337.03
251750000000000010002848932962,170.74
251750000000000010003659299115,379.55
251750000000000010004024991807,277.52
251750000000000010005882815430,82.64
251750000000000010006736438077,470.39
251750000000000010007320992010,336.94
251750000000000010008881713578,355.89
251750000000000010009012397394,663.77
251750000000000010010541901221,375.7
251750000000000010011069125967,747.84
251750000000000010012541880707,528.92
251750000000000010013814159039,136.88
251750000000000010014314563952,742.47
251750000000000010015994055168,608.43
251750000000000010016171740915,533.93
251750000000000010017197844678,
251750000000000010018061282742,444.64
251750000000000010019357698762,633.87
251750000000000010020413941698,549.44
251750000000000010021245222978,149.69
251750000000000010022891804531,671.91
251750000000000010023183391995,499.63
251750000000000010024112514150,549.74
251750000000000010025701180455,1286.72
251750000000000010026683839578,893.57
251750000000000010027785041822,1246.41
251750000000000010028265942003,877.41
251750000000000010029958108104,272.21
251750000000000010030960888929,1383.73
251750000000000010031385766677,1301.18
251750000000000010032185359884,1241.05
251750000000000010033736622014,
251750000000000010034414623353,512.38
251750000000000010035734316227,1080.99
251750000000000010036969847345,763.09
251750000000000010037984628557,304.7
251750000000000010038602170256,1038.24
251750000000000010039589196606,917.86
251750000000000010040750597199,825.28
251750000000000010041184547979,1071.92
251750000000000010042902750056,555.67
251750000000000010043111505446,
251750000000000010044577975425,902.03
251750000000000010045198171704,331.83
251750000000000010046674972673,997.72
251750000000000010047788762735,1157.97
251750000000000010048331910954,1124.74
251750000000000010049731715993,
251750000000000010050764136907,374.66
251750000000000010051894128861,768.13
251750000000000010052145065004,608.5
251750000000000010053784294340,253.81
251750000000000010054359775139,
251750000000000010055086278016,589.67
251750000000000010056906166068,578.32
